PMID	ProA	Action	ProB	LL-A	LL-B
8094051	RalGDS	binds	RalA	5900	5898
10318799	PLC gamma 1	binds	AHNAK		79026
10579713	ECT2	activates	RhoA	1894	387
10579713	ECT2	activates	Cdc42	1894	998
10579713	ECT2	activates	Rac1	1894	5879
10664448	Pim1	phosphorylates	HP1gamma	5292	
10783161	sur8	binds	Hras	8036	3265
10783161	sur8	binds	Kras	8036	3845
10783161	sur8	binds	Nras	8036	4893
10783161	sur8	binds	raf	8036	5894
11260258	p90RSK	phosphorylates	Tob		
11432776	PKNbeta	phosphorylates	Graf	5586	23092
11432776	PKNbeta	phosphorylates	Graf2	5586	79658
11521196	GAS41	binds	KIAA1009		
11521196	GAS41	binds	Numa		
11521196	GAS41	binds	PFDN1		
11535620	Akt	phosphorylates	AHNAK	207	79026
11741534	CTAK1	phosphorylates	KSR1	4140	8844
11779854	gankyrin	binds	CDK4	5716	1019
11779854	gankyrin	binds	proteasome S6	5716	5704
11802789	MPK38	phosphorylates	ZPR9		90441
11836244	MRK	phosphorylates	p38gamma	51776	6300
11952167	A-Raf	binds	TH1	369	
12007189	SSX2	binds	RAB3IP	6757	
12007189	SSX2	binds	SSX2IP	6757	
12079506	C-Raf	binds	VDAC	5894	7416
12084015	RanBPM	binds	USP11	10048	8237
12220523	RanBPM	binds	HIPK2	10048	28996
12242661	Plk3	phosphorylates	p53	1263	7157
12242661	Plk3	phosphorylates	Chk2	1263	11200
12361945	RanBPM	binds	androgenR	10048	
12361945	RanBPM	binds	glucocorticoidR	10048	
12376575	RNA Pol2 CTD	binds	hnRNP Q		
12376575	RNA Pol2 CTD	binds	hnRNP R		
12376575	RNA Pol2 CTD	binds	CA150		
12376575	RNA Pol2 CTD	binds	hnRNP D		
12376575	RNA Pol2 CTD	binds	U/SAF-A		
12376575	RNA Pol2 CTD	binds	topo I		
12376575	RNA Pol2 CTD	binds	DNA cyt5 methyltransferase 1		
12376575	RNA Pol2 CTD	binds	PARP-1		
12421467	RanBPM	binds	psoriasin	10048	6278
12525503	MAGE-A4	binds	gankyrin	4103	5716
12548019	Chk2	binds	Plk3	11200	1263
12559565	RanBPM	binds	Muskelin	10048	4289
12559565	RanBPM	binds	HSMpp8	10048	54737
12559565	RanBPM	binds	Twa1	10048	54994
12650640	MEKK3	phosphorylates	PA28	4215	
12824889	p53	transactivates	CDC4b	7157	55294
12870657	KAB1	binds	KARP1	9859	7520
12870657	KARP1	binds	KAB	7520	9859
12917339	ZIPK	phosphorylates	Par4		
12917339	ZIPK	phosphorylates	Daxx		
12917623	RanBPM	binds	PBGD	10048	
12932319	PP2A	dephosphorylates	Raf1	5515	5894
12932319	PP2A	dephosphorylates	KSR1	5515	8844
12963025	RanBPM	binds	p75NTR	10048	
12963733	Chk1	binds	claspin	1111	63967
12975377	KSR2	binds	Cot	283455	1326
12975377	KSR2	binds	Ras	283455	3265
12975377	KSR2	binds	ERK2	283455	5594
12975377	KSR2	binds	ERK1	283455	5595
12975377	KSR2	binds	MEK1	283455	5604
12975377	KSR2	binds	Raf1	283455	5894
14511641	Cdk11	phosphorylates	RanBPM	23097	10048
14511641	RanBPM	binds	CDK11	10048	23097
14556007	VHL1	binds	TBP1	7428	5702
14559897	Pam	binds	Myc	23077	4609
14559897	Pam	binds	tuberin	23077	7249
14576440	SNK	phosphorylates	SPAR	10769	26037
14576821	BCSG1	binds	BubR1		
14592421	PUB	binds	PU.1		6688
14611643	Akt1	phosphorylates	WNK1	207	65125
14638868	PKB	phosphorylates	Chfr	207	55743
14645260	ECT2	activates	RhoA	1894	387
14648869	RanBPM	binds	MVH	10048	54514
14665636	p14ARF	binds	TBP1	1029	5702
14668482	Nek2A	phosphorylates	HMGA2	4751	8091
14668487	KLEIP	binds	ECT2	27252	1894
14679215	BMK1	binds	14-3-3beta		
14681216	WNK1	phosphorylates	MEKK3	65125	4215
14681216	WNK1	phosphorylates	MEKK2	65125	10746
14684163	RanBP10	binds	Met	57610	4233
14684163	RanBP10	binds	Ran	57610	5901
14697346	Nek2A	phosphorylates	NIP1	4751	63941
14699089	14699089-1	complex	AHNAK		79026
14699089	14699089-1	complex	annexin 2		
14699089	14699089-1	complex	S100A10		
14701804	PIRH2	binds	TIP60		
14709720	syne-1	binds	KIF3B		
14722085	LFA-1	binds	RanBPM	3689	10048
14724321					
14724641	IMP	binds	Ras	8315	3265
14724641	IMP	binds	KSR	8315	8844
14729959	p53	binds	Net	7157	2004
14733938					
14734651	MLK3	phosphorylates	golgin-160	4296	2802
14739464	14739464-1	complex	DET1		
14739464	14739464-1	complex	ROC1		
14739464	14739464-1	complex	CUL4A		
14739464	14739464-1	complex	DDB1		
14739464	14739464-1	complex	COP1		
14749388	hCNK1	binds	RalGDS	10256	5900
14749388	hCNK1	binds	Rhophilin	10256	85415
14754897	ZNF216	binds	TRAF6	7763	7189
14754897	ZNF216	binds	IKKgamma	7763	8517
14754897	ZNF216	binds	RIP	7763	
14755250	RNF11	binds	AMSH	26994	10617
14755250	Smurf2	ubiquitinates	AMSH	64750	10617
14757770	Nub1L	binds	FAT10	51667	10537
14966113	Rac1	binds	p68RacGAP	5879	
14966113	Vezf1	binds	p68RacGAP		
14966141	MAPKKKK4	phosphorylates	JNK		
14966141	MAPKKKK4	binds	Rap2		
14978040	Nek2A	binds	Mad1	4751	8379
14978102	DMAP1	binds	Daxx		
14990995	E2F1	transactivates	MCM7	1869	4176
14990995	E2F2	transactivates	MCM7	1870	4176
14990995	E2F3	transactivates	MCM7	1871	4176
14990995	E2F4	transactivates	MCM7	1874	4176
14990995	E2F1	transactivates	geminin	1869	51053
14990995	E2F2	transactivates	geminin	1870	51053
14990995	E2F3	transactivates	geminin	1871	51053
14990995	E2F4	transactivates	geminin	1874	51053
14990995	E2F1	transactivates	Cdt1	1869	81620
14990995	E2F2	transactivates	Cdt1	1870	81620
14990995	E2F3	transactivates	Cdt1	1871	81620
14990995	E2F4	transactivates	Cdt1	1874	81620
14992727					
14998988	PSMA7	binds	Rab7	5688	7879
15014887	RanBPM	binds	h-SMP1	10048	26206
15014887	RanBPM	binds	LFA1	10048	50848
15021905	hDlg5	binds	TEM5	9231	25960
15021905	hDlg5	binds	TEM5-like	9231	166647
15021912	Plk3	binds	Erk2	1263	5594
15021912	Plk3	binds	Mek1	1263	5604
15024066					
15031288	Rain	binds	Ras	54922	3265
15044383	Aprataxin	binds	PARP-1	54840	142
15044383	Aprataxin	binds	p53	54840	7157
15044383	Aprataxin	binds	XRCC1	54840	7515
15060174	APC13	binds	Cdc27	25847	996
15060174	APC13	binds	Cdc16	25847	8881
15060174	APC13	binds	Apc2	25847	29882
15064709	AuroraB	binds	TACC1	9212	6867
15067004	NDR1	binds	Mob2	11329	81532
15067004	NDR2	binds	Mob2	23012	81532
15073321	PIDDosome	activates	caspase2		835
15073321	PIDDosome	complex	RAIDD		8738
15073321	PIDDosome	complex	PIDD		55367
15081408	MCM4	binds	Rb		
15082531	NLK	binds	cMyb		
15082531	HIPK2	binds	cMyb		
15082777	CK2	phosphorylates	HOXA9	1457	3205
15082777	CK2	phosphorylates	HOXA9	1457	3205
15082777	PKC	phosphorylates	HOXA9		3205
15084608	TRAF3	binds	NIK	7187	
15087455	BASH	binds	Btk	29760	695
15087455	BASH	binds	ERK2	29760	5594
15087455	BASH	binds	BNAS2	29760	
15090545	CD44	binds	NHE1		
15090600	LSP1	binds	ERK2	4046	5594
15090600	LSP1	binds	ERK2	4046	5594
15090600	LSP1	binds	MEK1	4046	5604
15090600	LSP1	binds	MEK1	4046	5604
15090600	LSP1	binds	KSR	4046	8844
15090600	LSP1	binds	KSR	4046	8844
15090600	LSP1	binds	PKCbetaI	4046	
15090600	LSP1	binds	PKCbetaI	4046	
15096610	BRCA1	binds	claspin	672	63967
15107402	RhoBTB2	binds	Cul3	23221	8452
15107609	14-3-3epsilon	binds	CDC25C	7531	995
15107609	14-3-3gamma	binds	CDC25C	7532	995
15107846	Triad3A	binds	TLR3	54476	7098
15107846	Triad3A	binds	TLR4	54476	7099
15107846	Triad3A	binds	TLR5	54476	7100
15107846	Triad3A	binds	UbcH7	54476	7332
15107846	Triad3A	binds	TLR9	54476	54106
15107846	Triad3A	binds	UbcH8	54476	
15115758	FANCD2	binds	BRCA2	2177	675
15116101	MLF1	binds	MLFIIP		
15118098	MORG1	binds	ERK	84292	5594
15118098	MORG1	binds	MEK	84292	5604
15118098	MORG1	binds	Raf1	84292	5894
15118098	MORG1	binds	MP1	84292	8649
15118098	MORG1	binds	more?	84292	
15123640	PKN	phosphorylates	PLC1	5585	5335
15123640	CD44	binds	PKN		
15123640	PKN	phosphorylates	cortactin	5585	
15123640	Rac1	activates	PKN	5879	
15125835	Cdk1	phosphorylates	Nir2	983	9600
15125835	Plk1	binds	Nir2	5347	9600
15125835	Plk1	phosphorylates	Nir2	5347	9600
15131260	androgen receptor	binds	LATS2	367	26524
15133129	SGEF	binds	RhoG		
15133513	15133513-1	complex	TRF1		7013
15133513	15133513-1	complex	TIN2		26277
15133513	15133513-1	complex	tankyrase 1		80351
15134463	PKCzeta	phosphorylates	IRS1	5590	3667
15134808	SIK2	phosphorylates	IRS1	23235	3667
15144564	CDH1	binds	HEF1	51343	4739
15144564	Smad3	binds	HEF1	4088	4739
15144564	Smad3	binds	APC10	4088	10393
15145941	AuroraA	phosphorylates	HURP	8465	9787
15145941	Cdk1	phosphorylates	HURP	983	9787
15145941	Fbx7	ubiquitinates	HURP	25793	9787
15147269	AuroraA	phosphorylates	LATS2	8465	26524
15147878	ubiquilin	binds	Rpn3	29979	5709
15147878	ubiquilin	binds	Rpn10e	29979	5710
15147878	ubiquilin	binds	Rpn10a	29979	5710
15147888	CGI-99	binds	ninein	51637	51199
15150265	SAD1	phosphorylates	Cdc25B	84446	994
15150265	SAD1	phosphorylates	Cdc25C	84446	995
15150265	SAD1	phosphorylates	Wee1A	84446	7465
15156151	MEMO	binds	ErbB2		
15159402	CDK2	binds	Ku70	1017	2547
15159402	CDK2	phosphorylates	Ku70	1017	2547
15159402	cyclin A1	binds	Ku70	8900	2547
15159402	CDK2	binds	GPS2	1017	2874
15159402	cyclin A1	binds	GPS2	8900	2874
15159402	CDK2	binds	RBM4	1017	5936
15159402	CDK2	phosphorylates	RBM4	1017	5936
15159402	cyclin A1	binds	RBM4	8900	5936
15159402	CDK2	binds	GNB2L1	1017	10399
15159402	cyclin A1	binds	GNB2L1	8900	10399
15159402	cyclin A1	binds	KARCA1 (BC022077)	8900	126823
15159402	cyclin A1	binds	PROCA1 (AA398001)	8900	147011
15159402	CDK2	binds	DKFZp686G052	1017	196528
15159402	cyclin A1	binds	DKFZp686G052	8900	196528
15159402	CDK2	phosphorylates	INCA1 (AC004771)	1017	388324
15159402	cyclin A1	binds	INCA1 (AC004771)	8900	388324
15159412	Sts1	binds	Cbl		867
15159412	Sts2	binds	Cbl		867
15159419	Affixin	binds	alpha-actinin		
15161910	Nek2A	phosphorylates	Nek11	4751	79858
15161910	Nek2A	binds	Nek11	4751	79858
15161931	DLP	binds	U5-102KD		
15163637	SIAH1	ubiquitinates	T-STAR	6477	10656
15166247	15166247-1	complex	Magoh		4116
15166247	15166247-1	complex	Y14		9939
15166247	15166247-1	complex	MLN51		22794
15166247	15166247-1	complex	tsunagi		
15169882	ACTR	binds	E2F1		1869
15169884	NSD1	binds	Nizp1	64324	84838
15169888	ABIN2	binds	TPL2		1326
15169888	ABIN2	binds	NFkB p105		
15169895	VPARP	binds	telomerase	143	
15173575	I-2	binds	AuroraA	5504	8465
15177040	15177040-1	complex	AHNAK		79026
15177040	15177040-1	complex	XRCC4		
15177040	15177040-1	complex	DNA ligase 4		
15178429	Cdk2	phosphorylates	NIRF	1017	115426
15178455	NADE	binds	Smac		
15178765	AuroraA	binds	p160ROCK	8465	6093
15181449	PTOP	binds	TIN1	65057	8658
15181449	PTOP	binds	POT1	65057	25913
15184390	15184390-1	complex	IKKa		1147
15184390	15184390-1	complex	IKKb		3551
15184390	15184390-1	complex	IKKg/NEMO		8517
15184390	15184390-1	complex	NEMO		8517
15184390	CARMA1	binds	IKKg/NEMO	84433	8517
